num_created,num_modified,num_deleted,num_renamed,total_operations,operation_rate_per_sec,unique_directories,unique_extensions,rename_modify_ratio,cpu_percent,memory_mb,label
110.0,101.0,9.0,1.0,221.0,22.1,7.0,4.0,0.01,77.1,265.59,0.0
5.0,168.0,9.0,158.0,340.0,34.0,10.0,11.0,0.94,48.01,298.83,1.0
106.0,153.0,6.0,3.0,268.0,26.8,5.0,8.0,0.02,78.01,464.92,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,31.85,0.0
40.0,17.0,0.0,0.0,57.0,5.7,3.0,3.0,0.0,20.31,188.9,0.0
2.0,9.0,1.0,1.0,13.0,1.3,3.0,3.0,0.111,3.3,160.65,0.0
7.0,122.0,11.0,139.0,279.0,27.9,12.0,11.0,1.139,85.18,245.56,1.0
0.0,22.0,0.0,19.0,41.0,4.1,2.0,5.0,0.864,41.55,43.56,1.0
8.0,87.0,0.0,99.0,194.0,19.4,13.0,9.0,1.138,52.95,87.32,1.0
5.0,58.0,2.0,60.0,125.0,12.5,8.0,3.0,1.034,27.56,178.48,1.0
1.0,143.0,8.0,141.0,293.0,29.3,10.0,7.0,0.986,93.22,247.72,1.0
3.0,12.0,2.0,1.0,18.0,1.8,3.0,4.0,0.083,5.59,80.51,0.0
0.0,1.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.59,43.09,0.0
0.0,18.0,1.0,15.0,34.0,3.4,4.0,3.0,0.833,23.43,61.78,1.0
32.0,16.0,0.0,0.0,48.0,4.8,1.0,2.0,0.0,15.94,239.05,0.0
7.0,124.0,0.0,119.0,250.0,25.0,7.0,9.0,0.96,83.48,285.58,1.0
1.0,38.0,2.0,38.0,79.0,7.9,4.0,4.0,1.0,30.29,187.48,1.0
3.0,59.0,0.0,61.0,123.0,12.3,2.0,4.0,1.034,58.13,156.83,1.0
3.0,24.0,1.0,21.0,49.0,4.9,3.0,6.0,0.875,37.68,80.84,1.0
8.0,42.0,13.0,37.0,100.0,10.0,11.0,11.0,0.881,83.22,135.0,1.0
41.0,96.0,25.0,3.0,165.0,16.5,4.0,6.0,0.031,95.83,652.04,0.0
7.0,172.0,8.0,161.0,348.0,34.8,13.0,8.0,0.936,37.58,81.03,1.0
5.0,15.0,2.0,0.0,22.0,2.2,1.0,1.0,0.0,7.6,49.93,0.0
2.0,13.0,4.0,12.0,31.0,3.1,3.0,3.0,0.923,22.88,41.62,1.0
6.0,43.0,0.0,47.0,96.0,9.6,14.0,10.0,1.093,88.17,307.7,1.0
117.0,142.0,13.0,2.0,274.0,27.4,7.0,5.0,0.014,96.25,483.78,0.0
0.0,35.0,1.0,37.0,73.0,7.3,5.0,4.0,1.057,69.5,75.86,1.0
3.0,173.0,4.0,155.0,335.0,33.5,10.0,6.0,0.896,54.38,238.4,1.0
3.0,4.0,1.0,0.0,8.0,0.8,3.0,2.0,0.0,7.49,117.42,0.0
1.0,88.0,4.0,89.0,182.0,18.2,13.0,9.0,1.011,40.3,153.67,1.0
3.0,41.0,8.0,41.0,93.0,9.3,5.0,10.0,1.0,35.58,241.34,1.0
3.0,8.0,2.0,0.0,13.0,1.3,3.0,2.0,0.0,7.53,76.04,0.0
2.0,48.0,6.0,43.0,99.0,9.9,3.0,2.0,0.896,48.45,199.73,1.0
36.0,10.0,0.0,0.0,46.0,4.6,3.0,1.0,0.0,27.43,164.38,0.0
7.0,60.0,15.0,67.0,149.0,14.9,16.0,8.0,1.117,84.95,254.76,1.0
0.0,100.0,12.0,110.0,222.0,22.2,14.0,6.0,1.1,38.39,96.09,1.0
3.0,49.0,8.0,53.0,113.0,11.3,3.0,2.0,1.082,43.61,134.05,1.0
1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,3.91,21.2,0.0
35.0,62.0,9.0,0.0,106.0,10.6,6.0,3.0,0.0,64.72,392.45,0.0
74.0,103.0,17.0,1.0,195.0,19.5,6.0,8.0,0.01,81.44,780.23,0.0
2.0,19.0,4.0,18.0,43.0,4.3,3.0,3.0,0.947,38.31,138.2,1.0
0.0,166.0,8.0,149.0,323.0,32.3,14.0,12.0,0.898,71.67,148.71,1.0
64.0,9.0,0.0,0.0,73.0,7.3,2.0,3.0,0.0,21.88,173.47,0.0
4.0,106.0,5.0,93.0,208.0,20.8,11.0,11.0,0.877,46.32,120.39,1.0
3.0,11.0,2.0,0.0,16.0,1.6,1.0,1.0,0.0,11.97,84.34,0.0
1.0,131.0,13.0,141.0,286.0,28.6,15.0,7.0,1.076,43.99,149.0,1.0
88.0,119.0,24.0,1.0,232.0,23.2,6.0,5.0,0.008,81.96,226.76,0.0
0.0,20.0,2.0,19.0,41.0,4.1,2.0,6.0,0.95,24.67,75.17,1.0
2.0,19.0,2.0,15.0,38.0,3.8,6.0,5.0,0.789,37.02,117.09,1.0
5.0,4.0,0.0,0.0,9.0,0.9,1.0,1.0,0.0,8.0,164.49,0.0
3.0,63.0,7.0,61.0,134.0,13.4,5.0,2.0,0.968,62.03,73.44,1.0
3.0,12.0,0.0,11.0,26.0,2.6,6.0,6.0,0.917,32.89,135.48,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,24.92,0.0
2.0,30.0,0.0,31.0,63.0,6.3,4.0,6.0,1.033,26.22,51.14,1.0
0.0,38.0,5.0,37.0,80.0,8.0,2.0,3.0,0.974,36.92,209.36,1.0
91.0,141.0,12.0,0.0,244.0,24.4,11.0,3.0,0.0,78.14,576.31,0.0
3.0,15.0,2.0,1.0,21.0,2.1,3.0,3.0,0.067,5.2,58.05,0.0
4.0,7.0,3.0,1.0,15.0,1.5,3.0,3.0,0.143,4.74,66.31,0.0
1.0,102.0,10.0,99.0,212.0,21.2,11.0,5.0,0.971,39.96,306.17,1.0
95.0,118.0,27.0,0.0,240.0,24.0,6.0,6.0,0.0,96.12,203.44,0.0
6.0,3.0,2.0,1.0,12.0,1.2,1.0,1.0,0.333,8.79,41.14,0.0
62.0,142.0,10.0,2.0,216.0,21.6,9.0,6.0,0.014,56.43,676.67,0.0
1.0,75.0,4.0,76.0,156.0,15.6,2.0,3.0,1.013,71.66,169.29,1.0
3.0,4.0,1.0,0.0,8.0,0.8,3.0,4.0,0.0,5.27,70.57,0.0
5.0,3.0,1.0,1.0,10.0,1.0,2.0,4.0,0.333,16.53,143.98,0.0
7.0,110.0,8.0,119.0,244.0,24.4,11.0,12.0,1.082,42.43,116.57,1.0
3.0,143.0,1.0,143.0,290.0,29.0,10.0,6.0,1.0,79.81,84.44,1.0
5.0,121.0,7.0,136.0,269.0,26.9,4.0,10.0,1.124,88.69,310.3,1.0
8.0,116.0,4.0,105.0,233.0,23.3,5.0,8.0,0.905,60.93,218.5,1.0
0.0,34.0,8.0,30.0,72.0,7.2,4.0,6.0,0.882,70.91,71.51,1.0
4.0,35.0,3.0,37.0,79.0,7.9,5.0,3.0,1.057,73.51,156.51,1.0
0.0,58.0,0.0,59.0,117.0,11.7,16.0,9.0,1.017,59.78,180.24,1.0
6.0,118.0,15.0,120.0,259.0,25.9,13.0,12.0,1.017,91.19,243.96,1.0
0.0,2.0,0.0,0.0,2.0,0.2,1.0,0.0,0.0,2.33,59.77,0.0
0.0,0.0,1.0,0.0,1.0,0.1,1.0,1.0,0.0,0.41,35.95,0.0
1.0,179.0,10.0,181.0,371.0,37.1,13.0,6.0,1.011,36.45,124.66,1.0
89.0,48.0,12.0,0.0,149.0,14.9,4.0,5.0,0.0,93.38,680.08,0.0
0.0,2.0,0.0,0.0,2.0,0.2,1.0,0.0,0.0,2.81,28.8,0.0
92.0,77.0,11.0,3.0,183.0,18.3,5.0,5.0,0.039,52.46,381.56,0.0
3.0,171.0,0.0,157.0,331.0,33.1,7.0,9.0,0.918,49.42,161.67,1.0
1.0,28.0,3.0,24.0,56.0,5.6,5.0,7.0,0.857,16.49,144.1,1.0
72.0,8.0,0.0,0.0,80.0,8.0,2.0,3.0,0.0,25.84,163.63,0.0
1.0,4.0,1.0,1.0,7.0,0.7,3.0,3.0,0.25,4.99,125.77,0.0
6.0,86.0,3.0,82.0,177.0,17.7,5.0,8.0,0.953,47.93,295.89,1.0
5.0,13.0,0.0,0.0,18.0,1.8,1.0,2.0,0.0,18.4,144.43,0.0
1.0,61.0,5.0,59.0,126.0,12.6,4.0,6.0,0.967,47.27,175.11,1.0
42.0,142.0,29.0,2.0,215.0,21.5,7.0,8.0,0.014,81.36,663.2,0.0
2.0,11.0,0.0,1.0,14.0,1.4,2.0,3.0,0.091,4.66,102.78,0.0
0.0,108.0,1.0,106.0,215.0,21.5,11.0,6.0,0.981,79.19,137.4,1.0
3.0,9.0,3.0,0.0,15.0,1.5,3.0,2.0,0.0,16.35,126.46,0.0
0.0,27.0,7.0,29.0,63.0,6.3,6.0,3.0,1.074,35.97,182.49,1.0
6.0,109.0,12.0,120.0,247.0,24.7,4.0,6.0,1.101,89.93,148.27,1.0
4.0,7.0,1.0,0.0,12.0,1.2,3.0,3.0,0.0,9.98,57.7,0.0
1.0,32.0,3.0,32.0,68.0,6.8,4.0,3.0,1.0,27.09,202.71,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,28.81,0.0
110.0,116.0,8.0,1.0,235.0,23.5,5.0,3.0,0.009,97.83,500.75,0.0
2.0,7.0,1.0,0.0,10.0,1.0,3.0,3.0,0.0,11.01,160.96,0.0
0.0,115.0,14.0,105.0,234.0,23.4,7.0,6.0,0.913,53.48,164.05,1.0
3.0,15.0,0.0,12.0,30.0,3.0,3.0,6.0,0.8,17.28,96.8,1.0
3.0,49.0,4.0,45.0,101.0,10.1,6.0,5.0,0.918,25.21,166.58,1.0
2.0,14.0,3.0,0.0,19.0,1.9,3.0,4.0,0.0,5.16,104.0,0.0
36.0,6.0,0.0,0.0,42.0,4.2,3.0,1.0,0.0,26.14,245.06,0.0
1.0,39.0,7.0,38.0,85.0,8.5,7.0,6.0,0.974,63.68,59.05,1.0
4.0,4.0,2.0,0.0,10.0,1.0,1.0,3.0,0.0,7.78,147.09,0.0
53.0,69.0,20.0,2.0,144.0,14.4,4.0,5.0,0.029,71.12,657.63,0.0
1.0,150.0,2.0,129.0,282.0,28.2,5.0,6.0,0.86,86.81,247.61,1.0
1.0,7.0,3.0,1.0,12.0,1.2,1.0,1.0,0.143,6.4,169.45,0.0
6.0,6.0,2.0,1.0,15.0,1.5,1.0,4.0,0.167,16.62,149.79,0.0
3.0,17.0,4.0,16.0,40.0,4.0,5.0,5.0,0.941,29.44,119.57,1.0
30.0,59.0,9.0,1.0,99.0,9.9,8.0,6.0,0.017,81.06,661.61,0.0
3.0,32.0,3.0,27.0,65.0,6.5,4.0,5.0,0.844,31.23,110.56,1.0
1.0,8.0,1.0,0.0,10.0,1.0,2.0,1.0,0.0,17.11,130.99,0.0
0.0,0.0,1.0,0.0,1.0,0.1,1.0,1.0,0.0,3.57,20.53,0.0
6.0,70.0,14.0,75.0,165.0,16.5,9.0,9.0,1.071,36.4,243.28,1.0
8.0,119.0,10.0,121.0,258.0,25.8,5.0,7.0,1.017,48.4,286.78,1.0
0.0,60.0,7.0,57.0,124.0,12.4,4.0,3.0,0.95,42.0,191.59,1.0
0.0,2.0,0.0,0.0,2.0,0.2,1.0,1.0,0.0,1.75,33.1,0.0
4.0,9.0,2.0,0.0,15.0,1.5,2.0,1.0,0.0,11.63,129.8,0.0
1.0,19.0,2.0,15.0,37.0,3.7,5.0,5.0,0.789,41.9,136.78,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,39.23,0.0
3.0,47.0,6.0,48.0,104.0,10.4,6.0,6.0,1.021,28.51,110.96,1.0
0.0,1.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.33,36.85,0.0
0.0,1.0,1.0,0.0,2.0,0.2,1.0,0.0,0.0,1.66,18.75,0.0
3.0,10.0,0.0,0.0,13.0,1.3,3.0,4.0,0.0,16.91,51.47,0.0
2.0,158.0,11.0,174.0,345.0,34.5,5.0,12.0,1.101,52.48,233.86,1.0
55.0,66.0,11.0,1.0,133.0,13.3,9.0,4.0,0.015,88.91,367.52,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,26.08,0.0
3.0,175.0,2.0,195.0,375.0,37.5,8.0,4.0,1.114,38.07,128.06,1.0
0.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.43,33.14,0.0
2.0,107.0,3.0,92.0,204.0,20.4,5.0,12.0,0.86,62.1,102.07,1.0
0.0,2.0,0.0,0.0,2.0,0.2,1.0,1.0,0.0,2.7,59.46,0.0
6.0,139.0,7.0,139.0,291.0,29.1,10.0,4.0,1.0,49.25,211.34,1.0
0.0,21.0,1.0,19.0,41.0,4.1,4.0,4.0,0.905,34.05,96.32,1.0
2.0,21.0,3.0,20.0,46.0,4.6,2.0,3.0,0.952,19.06,140.23,1.0
3.0,88.0,7.0,101.0,199.0,19.9,4.0,5.0,1.148,41.51,98.01,1.0
93.0,142.0,11.0,0.0,246.0,24.6,11.0,3.0,0.0,64.59,383.19,0.0
5.0,14.0,2.0,0.0,21.0,2.1,3.0,1.0,0.0,15.72,129.79,0.0
6.0,8.0,2.0,0.0,16.0,1.6,3.0,4.0,0.0,10.29,142.59,0.0
0.0,0.0,1.0,0.0,1.0,0.1,1.0,1.0,0.0,3.75,48.9,0.0
51.0,6.0,0.0,0.0,57.0,5.7,1.0,1.0,0.0,11.14,189.05,0.0
3.0,75.0,8.0,68.0,154.0,15.4,5.0,4.0,0.907,58.15,181.09,1.0
103.0,127.0,10.0,1.0,241.0,24.1,11.0,4.0,0.008,54.49,816.66,0.0
1.0,18.0,2.0,15.0,36.0,3.6,6.0,4.0,0.833,27.22,75.39,1.0
82.0,10.0,0.0,0.0,92.0,9.2,4.0,2.0,0.0,10.27,224.6,0.0
107.0,126.0,11.0,1.0,245.0,24.5,10.0,3.0,0.008,50.72,738.48,0.0
3.0,74.0,6.0,68.0,151.0,15.1,7.0,5.0,0.919,33.97,210.59,1.0
64.0,10.0,0.0,0.0,74.0,7.4,3.0,3.0,0.0,11.2,84.75,0.0
3.0,34.0,4.0,31.0,72.0,7.2,2.0,5.0,0.912,40.03,107.48,1.0
0.0,18.0,1.0,17.0,36.0,3.6,5.0,3.0,0.944,21.43,91.86,1.0
4.0,3.0,1.0,0.0,8.0,0.8,3.0,4.0,0.0,9.0,138.66,0.0
33.0,11.0,0.0,0.0,44.0,4.4,3.0,1.0,0.0,28.39,230.36,0.0
0.0,69.0,14.0,61.0,144.0,14.4,4.0,6.0,0.884,63.96,203.26,1.0
56.0,99.0,16.0,3.0,174.0,17.4,7.0,8.0,0.03,92.72,694.31,0.0
0.0,1.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,3.58,53.23,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,24.39,0.0
3.0,11.0,3.0,0.0,17.0,1.7,1.0,1.0,0.0,18.01,142.83,0.0
3.0,56.0,5.0,62.0,126.0,12.6,12.0,5.0,1.107,85.51,105.31,1.0
0.0,13.0,1.0,12.0,26.0,2.6,6.0,4.0,0.923,15.54,51.18,1.0
91.0,120.0,5.0,2.0,218.0,21.8,10.0,8.0,0.017,73.7,285.82,0.0
102.0,66.0,16.0,1.0,185.0,18.5,5.0,7.0,0.015,89.36,644.13,0.0
1.0,33.0,4.0,33.0,71.0,7.1,5.0,6.0,1.0,35.62,95.23,1.0
3.0,27.0,3.0,28.0,61.0,6.1,4.0,5.0,1.037,27.14,92.19,1.0
6.0,7.0,2.0,1.0,16.0,1.6,1.0,2.0,0.143,15.9,49.52,0.0
3.0,15.0,0.0,0.0,18.0,1.8,3.0,3.0,0.0,8.14,141.42,0.0
6.0,13.0,2.0,0.0,21.0,2.1,1.0,3.0,0.0,6.1,73.2,0.0
2.0,113.0,14.0,119.0,248.0,24.8,15.0,5.0,1.053,66.75,103.18,1.0
2.0,166.0,6.0,164.0,338.0,33.8,10.0,7.0,0.988,60.95,201.49,1.0
1.0,10.0,0.0,0.0,11.0,1.1,3.0,1.0,0.0,19.44,169.69,0.0
56.0,129.0,23.0,3.0,211.0,21.1,12.0,6.0,0.023,61.52,529.37,0.0
